belirti,hastalik
astım sorunum var,Astım
nefes almak beni yoruyor,Astım
hırıltılı solunum var,Astım
gece öksürük artıyor,Astım
astım krizi başladı,Astım
nefes almakta güçlük var,Astım
göğsüm sıkışıyor gibi,Astım
nefes darlığı ile öksürük var,Astım
astım atağı geçiriyorum,Astım
nefesim tıkalı gibi,Astım
hırıltı ve nefes darlığı var,Astım
öksürük ve hırıltı var,Astım
nefes almak zorlaştı,Astım
astım belirtileri arttı,Astım
nefesim daralıyor ve öksürüyorum,Astım
nefes alırken hırıltı duyuyorum,Astım
astım krizi beni zorluyor,Astım
nefes alıp veremiyorum,Astım
astım yüzünden nefesim dar,Astım
öksürükle nefesim daralıyor,Astım
nefes almakta zorlanıyorum,Astım
nefes darlığı yaşıyorum,Astım
hırıltılı nefes alıyorum,Astım
astım krizi geçiriyorum,Astım
gece nefes darlığı oluyor,Astım
öksürük ve nefes darlığı var,Astım
spor yapınca nefesim kesiliyor,Astım
nefes alırken zorlanıyorum,Astım
göğsümde baskı hissi var,Astım
nefes almak zorlaştı,Astım
astım atağım var,Astım
kendimi mutsuz hissediyorum,Depresyon
hiçbir şeyden keyif almıyorum,Depresyon
hayata karşı isteksizim,Depresyon
çok uyumak istiyorum,Depresyon
iş yapmak istemiyorum,Depresyon
kendimi boş hissediyorum,Depresyon
moralim çok bozuk,Depresyon
sürekli ağlamak istiyorum,Depresyon
hayattan zevk almıyorum,Depresyon
kendimi değersiz hissediyorum,Depresyon
çok fazla yiyorum,Depresyon
sabahları yataktan kalkamıyorum,Depresyon
kendimi yalnız hissediyorum,Depresyon
hayat anlamsız geliyor,Depresyon
içimde sıkıntı var,Depresyon
kendime güvenim kalmadı,Depresyon
hiçbir şeye hevesim yok,Depresyon
ruhsal olarak çökmüş hissediyorum,Depresyon
kendimi bitkin hissediyorum,Depresyon
sürekli canım sıkkın,Depresyon
uykusuzluk ve halsizlik var,Depresyon
hayattan kopmuş gibiyim,Depresyon
kendimi boşlukta hissediyorum,Depresyon
içimde karamsarlık var,Depresyon
hiçbir şey yapmak istemiyorum,Depresyon
hayata karşı isteğim yok,Depresyon
ruhsal olarak yorgunum,Depresyon
kendimi umutsuz hissediyorum,Depresyon
sürekli moralim bozuk,Depresyon
yaşamak zor geliyor,Depresyon
kendimi çaresiz hissediyorum,Depresyon
ruh halim çok kötü,Depresyon
kendimi mutsuz hissediyorum,Depresyon
hiçbir şeyden keyif almıyorum,Depresyon
hayata karşı isteksizim,Depresyon
çok uyumak istiyorum,Depresyon
iş yapmak istemiyorum,Depresyon
kendimi boş hissediyorum,Depresyon
moralim çok bozuk,Depresyon
sürekli ağlamak istiyorum,Depresyon
hayattan zevk almıyorum,Depresyon
kendimi değersiz hissediyorum,Depresyon
çok fazla yiyorum,Depresyon
sabahları yataktan kalkamıyorum,Depresyon
kendimi yalnız hissediyorum,Depresyon
hayat anlamsız geliyor,Depresyon
içimde sıkıntı var,Depresyon
kendime güvenim kalmadı,Depresyon
hiçbir şeye hevesim yok,Depresyon
ruhsal olarak çökmüş hissediyorum,Depresyon
kendimi bitkin hissediyorum,Depresyon
sürekli canım sıkkın,Depresyon
uykusuzluk ve halsizlik var,Depresyon
hayattan kopmuş gibiyim,Depresyon
kendimi boşlukta hissediyorum,Depresyon
içimde karamsarlık var,Depresyon
hiçbir şey yapmak istemiyorum,Depresyon
hayata karşı isteğim yok,Depresyon
ruhsal olarak yorgunum,Depresyon
kendimi umutsuz hissediyorum,Depresyon
sürekli moralim bozuk,Depresyon
yaşamak zor geliyor,Depresyon
kendimi çaresiz hissediyorum,Depresyon
ruh halim çok kötü,Depresyon
burun tıkanıklığı var,Soğuk algınlığı
hafif ateşim var,Soğuk algınlığı
burun akıntısı var,Soğuk algınlığı
hafif halsizlik var,Soğuk algınlığı
hafif öksürük var,Soğuk algınlığı
soğuk algınlığı oldum,Soğuk algınlığı
boğazım tahriş olmuş,Soğuk algınlığı
nezle belirtileri var,Soğuk algınlığı
burun tıkanıklığı başladı,Soğuk algınlığı
boğaz ağrısı başladı,Soğuk algınlığı
hafif kırgınlık var,Soğuk algınlığı
grip gibi hissediyorum,Soğuk algınlığı
soğuktan hasta oldum,Soğuk algınlığı
burun doluluğu var,Soğuk algınlığı
nezle gibi hissediyorum,Soğuk algınlığı
burun tıkalı ve akıyor,Soğuk algınlığı
boğazım gıcık oluyor,Soğuk algınlığı
hafif ateşle üşüyorum,Soğuk algınlığı
burun ve boğaz dolu,Soğuk algınlığı
soğuk algınlığı belirtileri var,Soğuk algınlığı
burun tıkanıklığı ve akıntı var,Soğuk algınlığı
boğazım şiş gibi,Soğuk algınlığı
hapşırma krizleri var,Soğuk algınlığı
soğuk havada hasta oldum,Soğuk algınlığı
hafif ateş ve halsizlik var,Soğuk algınlığı
nezle oldum gibi hissediyorum,Soğuk algınlığı
boğazım tahriş oldu,Soğuk algınlığı
hapşırık ve burun akıntısı var,Soğuk algınlığı
soğuk çarpmış gibi hissediyorum,Soğuk algınlığı
baş ağrısı var,Hipertansiyon
nefes darlığı var,Hipertansiyon
kalbim hızlı atıyor,Hipertansiyon
başım ağrıyor ve dönüyor,Hipertansiyon
kalp çarpıntısı var,Hipertansiyon
kulak çınlaması başladı,Hipertansiyon
baş ağrısı enseden geliyor,Hipertansiyon
tansiyonum yüksek hissediyorum,Hipertansiyon
ense köküm ağrıyor,Hipertansiyon
tansiyon sorunum var,Hipertansiyon
yüksek tansiyon belirtileri var,Hipertansiyon
baş ağrısı ve bulantı var,Hipertansiyon
yüzüm ateş gibi,Hipertansiyon
başım ağrıyor ve kulaklarım çınlıyor,Hipertansiyon
gözlerim bulanık görüyor,Hipertansiyon
baş dönmesi yaşıyorum,Hipertansiyon
yüksek tansiyon hissi var,Hipertansiyon
ense ağrısı başladı,Hipertansiyon
kalp çarpıntısı hissediyorum,Hipertansiyon
başım ağrıyor tansiyonum çıktı,Hipertansiyon
başım dönüyor ve bulanık görüyorum,Hipertansiyon
tansiyon yüksekliği var,Hipertansiyon
ensem tutulmuş gibi,Hipertansiyon
baş ağrısı sürekli,Hipertansiyon
yüksek tansiyon sorunum var,Hipertansiyon
kalp hızlı atıyor,Hipertansiyon
başım ağrıyor gözlerim kararıyor,Hipertansiyon
kulak çınlaması devam ediyor,Hipertansiyon
baş ağrısı ensede yoğun,Hipertansiyon
tansiyonum yine yükseldi,Hipertansiyon
yüksek tansiyon yaşıyorum,Hipertansiyon
kan basıncım sürekli yüksek,Hipertansiyon
yüksek tansiyon hastasıyım,Hipertansiyon
tansiyonum 15 10 ölçüldü,Hipertansiyon
başım ağrıyor tansiyonum yükselmiş,Hipertansiyon
ensemde baskı hissediyorum,Hipertansiyon
kulaklarım çınlıyor tansiyonum var,Hipertansiyon
yüksek tansiyon nedeniyle baş dönmesi yaşıyorum,Hipertansiyon
kan basıncım kontrolsüz,Hipertansiyon
tansiyon ilacı kullanıyorum,Hipertansiyon
gözlerimde kararma oluyor tansiyonum yükselince,Hipertansiyon
baş ağrısı ve tansiyon yüksekliği var,Hipertansiyon
tansiyonum ani yükseliyor,Hipertansiyon
kan basıncı problemim var,Hipertansiyon
yüksek tansiyon nedeniyle halsizim,Hipertansiyon
tansiyonum sabahları çok yüksek,Hipertansiyon
tansiyon ölçümüm normal değil,Hipertansiyon
hipertansiyon teşhisi kondu,Hipertansiyon
yüksek tansiyon sorunum var,Hipertansiyon
baş dönmesi ve tansiyon yüksekliği,Hipertansiyon
ense ağrısı ve yüksek tansiyon,Hipertansiyon
tansiyon atağı geçirdim,Hipertansiyon
kan basıncım sınırın üstünde,Hipertansiyon
yüksek tansiyon şikayetim var,Hipertansiyon
tansiyonum 16 10 ölçüldü,Hipertansiyon
kan basıncım çok yüksek,Hipertansiyon
tansiyon ilacı kullanıyorum,Hipertansiyon
kan basıncım kontrolden çıktı,Hipertansiyon
tansiyon atağı geçirdim,Hipertansiyon
tansiyonum sürekli yüksek çıkıyor,Hipertansiyon
kan basıncı ölçümüm normal değil,Hipertansiyon
tansiyonum aniden yükseliyor,Hipertansiyon
ense ağrısı ve tansiyon yüksekliği var,Hipertansiyon
baş dönmesi ve yüksek tansiyon yaşıyorum,Hipertansiyon
tansiyon ilacım artık yetmiyor,Hipertansiyon
kan basıncım 15 9 ölçüldü,Hipertansiyon
tansiyonum kontrol altında değil,Hipertansiyon
hipertansiyon teşhisi kondu,Hipertansiyon
yüksek tansiyon sorunum var,Hipertansiyon
çok sık susuyorum,Diyabet
sürekli su içme ihtiyacı hissediyorum,Diyabet
kan şekerim yüksek çıktı,Diyabet
şeker hastalığım var,Diyabet
kan şekerim kontrolden çıktı,Diyabet
gece sık sık idrara çıkıyorum,Diyabet
ağız kuruluğu yaşıyorum,Diyabet
bulanık görmeye başladım,Diyabet
şeker ilacı kullanıyorum,Diyabet
diyabet teşhisi kondu,Diyabet
sık idrara çıkıyorum,Diyabet
kan şekerim yüksek,Diyabet
gözlerim bulanık görüyor,Diyabet
gece sık idrara kalkıyorum,Diyabet
çok su içiyorum,Diyabet
ağız kuruluğu yaşıyorum,Diyabet
şeker hastalığım var,Diyabet
kan şekeri yüksek çıktı,Diyabet
yemekten sonra halsizlik oluyor,Diyabet
tatlı isteğim arttı,Diyabet
idrara sık çıkıyorum,Diyabet
kan şekeri dengesiz,Diyabet
sürekli susama hissi var,Diyabet
çok su içme ihtiyacı duyuyorum,Diyabet
gece susayıp uyanıyorum,Diyabet
kan şekerim kontrolsüz,Diyabet
açlık hissim artıyor,Diyabet
çok yemek yiyorum,Diyabet
kilo kaybı yaşıyorum,Diyabet
gün boyu halsizim,Diyabet
kan şekerim yüksek hissediyorum,Diyabet
idrara çok çıkıyorum,Diyabet
şekerim düşüp çıkıyor,Diyabet
çok susuyorum ve idrara çıkıyorum,Diyabet
kan şekeri problemi var,Diyabet
şeker değerlerim yüksek,Diyabet
gözlerim net görmüyor,Diyabet
kan şekerim bozuk,Diyabet
şekerim düzenli değil,Diyabet
şeker hastalığı belirtileri var,Diyabet
yemekten sonra şekerim yükseliyor,Diyabet
gece idrara kalkıyorum,Diyabet
kan şekerim kontrolsüz çıktı,Diyabet
çok sık susuyorum,Diyabet
sürekli su içme ihtiyacı hissediyorum,Diyabet
aşırı susama var,Diyabet
sık idrara çıkıyorum,Diyabet
çok çabuk acıkıyorum,Diyabet
kan şekerim yüksek çıktı,Diyabet
şeker hastalığım var,Diyabet
kan şekerim dengesiz,Diyabet
ağız kuruluğu yaşıyorum,Diyabet
diyabet teşhisi kondu,Diyabet
kan şekerim düşüp yükseliyor,Diyabet
şeker ilacı kullanıyorum,Diyabet
yemekten sonra halsiz oluyorum,Diyabet
sürekli yorgun hissediyorum,Diyabet
gece sık sık idrara çıkıyorum,Diyabet
kan şekerim kontrolsüz,Diyabet
bulanık görmeye başladım şekerden,Diyabet
şekerim çok yüksek,Diyabet
mide ağrısı var,Gastrit
mide bulantısı yaşıyorum,Gastrit
yemekten sonra midem ağrıyor,Gastrit
mide rahatsızlığı hissediyorum,Gastrit
mide krampları oluyor,Gastrit
mide ağrısı başladı,Gastrit
mide yanması var,Gastrit
yemek yiyince midem ağrıyor,Gastrit
mide ağrısı geçmiyor,Gastrit
midemde yanma hissi var,Gastrit
mide problemleri yaşıyorum,Gastrit
mide ağrısı ve bulantı var,Gastrit
mide rahatsızlığı arttı,Gastrit
midem şiş gibi,Gastrit
yemekten sonra mide yanması oluyor,Gastrit
mide ağrısı yüzünden rahatsızım,Gastrit
mide bulantısı başladı,Gastrit
midem ağrıyınca iştahım kaçıyor,Gastrit
mide sorunları var,Gastrit
mide ağrısı sık oluyor,Gastrit
mide hassasiyeti var,Gastrit
midem yanıyor ve ağrıyor,Gastrit
yemek sonrası mide ağrısı var,Gastrit
mide ağrısı yüzünden huzursuzum,Gastrit
mide rahatsızlığı devam ediyor,Gastrit
midem ağrıyor ve bulanıyor,Gastrit
mide şikayetlerim var,Gastrit
mide ağrısı beni zorluyor,Gastrit
mide yanması arttı,Gastrit
midem çok hassas,Gastrit
yemek yedikten sonra midem bozuluyor,Gastrit
mide ağrısı uzun süredir var,Gastrit
mide rahatsızlığı hissi geçmiyor,Gastrit
midem ağrıyor ve şiş,Gastrit
mide bulantısı ve ağrı var,Gastrit
mide problemleri başladı,Gastrit
mide ağrısı beni rahatsız ediyor,Gastrit
midem yanıyor ve bulanıyor,Gastrit
yemekten sonra mide rahatsızlığı oluyor,Gastrit
mide ağrısı şiddetlendi,Gastrit
mide sorunum var,Gastrit
midem ağrıyor gastrit gibi,Gastrit
